"","YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"30",2024,1,2,6,18,10,1.5,NA,NA,NA,NA,NA,1023.1,13.6,14.5,NA,NA,NA
"31",2024,1,2,7,18,0,0,NA,NA,NA,NA,NA,1023.3,13.2,14.5,NA,NA,NA
"32",2024,1,2,8,18,260,0.5,NA,NA,NA,NA,NA,1023.3,13.3,14.5,NA,NA,NA
"33",2024,1,2,9,18,0,0,NA,NA,NA,NA,NA,1023.2,13.2,14.6,NA,NA,NA
"34",2024,1,2,10,18,90,4.1,NA,NA,NA,NA,NA,1023.1,12.5,14.6,NA,NA,NA
"35",2024,1,2,11,18,90,6.7,NA,NA,NA,NA,NA,1023,11.8,14.6,NA,NA,NA
"36",2024,1,2,12,18,90,6.7,NA,NA,NA,NA,NA,1022.6,11.6,14.6,NA,NA,NA
"37",2024,1,2,13,18,100,4.6,NA,NA,NA,NA,NA,1022.9,10.9,14.5,NA,NA,NA
"38",2024,1,2,14,18,30,2.1,NA,NA,NA,NA,NA,1023.7,11.7,14.5,NA,NA,NA
"39",2024,1,2,15,18,50,2.1,NA,NA,NA,NA,NA,1023.8,11.9,14.5,NA,NA,NA
"40",2024,1,2,16,18,160,2.1,NA,NA,NA,NA,NA,1023.9,12.8,14.5,NA,NA,NA
"41",2024,1,2,17,18,90,4.1,NA,NA,NA,NA,NA,1024.3,12.2,14.5,NA,NA,NA
"42",2024,1,2,18,18,120,2.1,NA,NA,NA,NA,NA,1024.8,13,14.5,NA,NA,NA
"43",2024,1,2,19,18,120,2.6,NA,NA,NA,NA,NA,1023.9,13.2,14.5,NA,NA,NA
"44",2024,1,2,20,18,170,1.5,NA,NA,NA,NA,NA,1023.1,13.7,14.5,NA,NA,NA
"45",2024,1,2,21,18,200,4.6,NA,NA,NA,NA,NA,1021.6,14.3,14.4,NA,NA,NA
"46",2024,1,2,22,18,200,9.8,NA,NA,NA,NA,NA,1020.9,14.3,14.4,NA,NA,NA
"47",2024,1,2,22,58,190,9.8,NA,NA,NA,NA,NA,1020.5,14.3,14.4,NA,NA,NA
"48",2024,1,3,0,18,180,12.4,NA,NA,NA,NA,NA,1019.5,14.3,14.3,NA,NA,NA
"49",2024,1,3,2,28,180,12.9,NA,NA,NA,NA,NA,1018.3,12.9,14.3,NA,NA,NA
"50",2024,1,3,3,18,240,7.7,NA,NA,NA,NA,NA,1019,12.5,14.3,NA,NA,NA
"51",2024,1,3,4,18,270,7.2,NA,NA,NA,NA,NA,1019.3,11.9,14.4,NA,NA,NA
"52",2024,1,3,5,18,270,8.2,NA,NA,NA,NA,NA,1020.1,13.8,14.5,NA,NA,NA
"53",2024,1,3,6,18,260,8.8,NA,NA,NA,NA,NA,1020,13.4,14.4,NA,NA,NA
"54",2024,1,3,7,18,270,7.2,NA,NA,NA,NA,NA,1020.5,13,14.4,NA,NA,NA
"55",2024,1,3,8,18,260,7.2,NA,NA,NA,NA,NA,1020,13.3,14.3,NA,NA,NA
"56",2024,1,3,9,18,290,9.3,NA,NA,NA,NA,NA,1019.8,12.8,14.3,NA,NA,NA
"57",2024,1,3,10,18,260,8.2,NA,NA,NA,NA,NA,1019.7,13.3,14.4,NA,NA,NA
"58",2024,1,3,11,18,250,6.2,NA,NA,NA,NA,NA,1020.7,11.6,14.4,NA,NA,NA
"59",2024,1,3,12,18,270,3.1,NA,NA,NA,NA,NA,1019.8,12.2,14.4,NA,NA,NA
"60",2024,1,3,13,18,210,3.1,NA,NA,NA,NA,NA,1019.7,12.4,14.5,NA,NA,NA
"61",2024,1,3,14,18,260,1.5,NA,NA,NA,NA,NA,1020.2,12.6,14.4,NA,NA,NA
"62",2024,1,3,15,18,90,5.7,NA,NA,NA,NA,NA,1020.3,12,14.3,NA,NA,NA
"63",2024,1,3,16,18,100,3.6,NA,NA,NA,NA,NA,1021.8,11,14.3,NA,NA,NA
"64",2024,1,3,17,18,230,1,NA,NA,NA,NA,NA,1023,11.8,14.3,NA,NA,NA
"65",2024,1,3,18,18,280,1.5,NA,NA,NA,NA,NA,1023.5,12,14.3,NA,NA,NA
"66",2024,1,3,19,18,310,2.1,NA,NA,NA,NA,NA,1022.5,12.2,14.4,NA,NA,NA
"67",2024,1,3,20,18,290,2.1,NA,NA,NA,NA,NA,1021.9,12.4,14.5,NA,NA,NA
"68",2024,1,3,21,18,300,9.8,NA,NA,NA,NA,NA,1021.1,13.5,14.6,NA,NA,NA
"69",2024,1,3,22,18,300,10.8,NA,NA,NA,NA,NA,1020.9,13.4,14.6,NA,NA,NA
"70",2024,1,3,22,58,300,9.8,NA,NA,NA,NA,NA,1021,13.4,14.6,NA,NA,NA
"71",2024,1,4,0,18,290,12.4,NA,NA,NA,NA,NA,1021.7,13.5,14.5,NA,NA,NA
"72",2024,1,4,1,18,300,10.8,NA,NA,NA,NA,NA,1022.3,13.4,14.5,NA,NA,NA
"73",2024,1,4,2,18,310,12.4,NA,NA,NA,NA,NA,1022.9,13.4,14.5,NA,NA,NA
"74",2024,1,4,3,18,310,9.3,NA,NA,NA,NA,NA,1023.6,13.4,14.6,NA,NA,NA
"75",2024,1,4,4,18,320,7.2,NA,NA,NA,NA,NA,1024.2,13.3,14.6,NA,NA,NA
"76",2024,1,4,5,18,310,6.7,NA,NA,NA,NA,NA,1024.4,13.2,14.5,NA,NA,NA
"77",2024,1,4,6,18,310,10.8,NA,NA,NA,NA,NA,1024.3,13.1,14.5,NA,NA,NA
"78",2024,1,4,7,18,320,7.7,NA,NA,NA,NA,NA,1024.7,12.8,14.5,NA,NA,NA
"79",2024,1,4,8,18,320,9.8,NA,NA,NA,NA,NA,1024.5,12.8,14.5,NA,NA,NA
"80",2024,1,4,9,18,320,8.2,NA,NA,NA,NA,NA,1024.5,12.6,14.5,NA,NA,NA
"81",2024,1,4,10,18,330,8.2,NA,NA,NA,NA,NA,1024.7,12.4,14.4,NA,NA,NA
"82",2024,1,4,11,18,360,6.2,NA,NA,NA,NA,NA,1024.9,12.1,14.4,NA,NA,NA
"83",2024,1,4,12,18,320,5.7,NA,NA,NA,NA,NA,1025.3,12,14.4,NA,NA,NA
"84",2024,1,4,13,18,310,8.2,NA,NA,NA,NA,NA,1025.3,12.5,14.4,NA,NA,NA
"85",2024,1,4,14,18,330,7.2,NA,NA,NA,NA,NA,1025.6,12.3,14.4,NA,NA,NA
"86",2024,1,4,15,18,340,4.6,NA,NA,NA,NA,NA,1026,11.6,14.5,NA,NA,NA
"87",2024,1,4,16,18,340,5.7,NA,NA,NA,NA,NA,1026.7,12,14.5,NA,NA,NA
"88",2024,1,4,17,18,10,5.1,NA,NA,NA,NA,NA,1027.6,12.3,14.6,NA,NA,NA
"89",2024,1,4,19,18,320,1,NA,NA,NA,NA,NA,1027.5,12.3,14.6,NA,NA,NA
"90",2024,1,4,20,18,30,1.5,NA,NA,NA,NA,NA,1026.7,12.7,14.6,NA,NA,NA
"91",2024,1,4,21,18,300,0.5,NA,NA,NA,NA,NA,1025.8,13.3,14.8,NA,NA,NA
"92",2024,1,4,22,18,310,5.7,NA,NA,NA,NA,NA,1025,13.7,14.6,NA,NA,NA
"93",2024,1,4,23,18,300,7.7,NA,NA,NA,NA,NA,1024.8,13.8,14.6,NA,NA,NA
"94",2024,1,5,0,18,300,9.8,NA,NA,NA,NA,NA,1024.9,13.8,14.5,NA,NA,NA
"95",2024,1,5,1,18,300,8.8,NA,NA,NA,NA,NA,1024.7,13.7,14.5,NA,NA,NA
"96",2024,1,5,2,18,300,8.8,NA,NA,NA,NA,NA,1025.4,13.8,14.5,NA,NA,NA
"97",2024,1,5,3,18,290,8.2,NA,NA,NA,NA,NA,1025.3,13.7,14.4,NA,NA,NA
"98",2024,1,5,4,18,310,6.2,NA,NA,NA,NA,NA,1026.1,13.6,14.4,NA,NA,NA
"99",2024,1,5,5,18,340,4.1,NA,NA,NA,NA,NA,1025.9,13.3,14.4,NA,NA,NA
"100",2024,1,5,6,18,340,2.6,NA,NA,NA,NA,NA,1026.4,13.2,14.4,NA,NA,NA
"101",2024,1,5,7,18,10,2.1,NA,NA,NA,NA,NA,1025.9,12.8,14.4,NA,NA,NA
"102",2024,1,5,8,8,20,2.1,NA,NA,NA,NA,NA,1025.8,12.7,14.3,NA,NA,NA
"103",2024,1,5,8,58,60,3.1,NA,NA,NA,NA,NA,1025.3,12.7,14.3,NA,NA,NA
"104",2024,1,5,9,58,50,2.6,NA,NA,NA,NA,NA,1025.1,12.4,14.3,NA,NA,NA
"105",2024,1,5,10,58,40,2.1,NA,NA,NA,NA,NA,1025.1,12,14.3,NA,NA,NA
"106",2024,1,5,11,58,70,3.1,NA,NA,NA,NA,NA,1024.9,11.8,14.3,NA,NA,NA
"107",2024,1,5,12,58,70,2.6,NA,NA,NA,NA,NA,1025.2,11.9,14.3,NA,NA,NA
"108",2024,1,5,13,58,100,3.1,NA,NA,NA,NA,NA,1025.2,11.9,14.3,NA,NA,NA
"109",2024,1,5,14,58,130,2.1,NA,NA,NA,NA,NA,1025.6,12.2,14.3,NA,NA,NA
"110",2024,1,5,15,58,20,2.1,NA,NA,NA,NA,NA,1026.5,12.6,14.3,NA,NA,NA
"111",2024,1,5,16,58,60,1.5,NA,NA,NA,NA,NA,1026.8,12.2,14.3,NA,NA,NA
"112",2024,1,5,17,58,80,3.1,NA,NA,NA,NA,NA,1027.4,11.7,14.3,NA,NA,NA
"113",2024,1,5,18,58,110,2.6,NA,NA,NA,NA,NA,1027.1,12.3,14.3,NA,NA,NA
"114",2024,1,5,19,58,120,1.5,NA,NA,NA,NA,NA,1026.6,13.2,14.3,NA,NA,NA
"115",2024,1,5,21,18,0,0,NA,NA,NA,NA,NA,1025.1,13.6,14.5,NA,NA,NA
"116",2024,1,5,22,18,0,0,NA,NA,NA,NA,NA,1024.7,14.2,14.6,NA,NA,NA
"117",2024,1,5,23,18,150,1.5,NA,NA,NA,NA,NA,1024.6,14.2,14.8,NA,NA,NA
"118",2024,1,6,0,18,50,1.5,NA,NA,NA,NA,NA,1024.5,14.6,14.5,NA,NA,NA
"119",2024,1,6,1,18,330,7.7,NA,NA,NA,NA,NA,1024.7,15.6,14.5,NA,NA,NA
"120",2024,1,6,2,18,290,2.6,NA,NA,NA,NA,NA,1024.9,14.9,14.5,NA,NA,NA
"121",2024,1,6,3,18,300,5.1,NA,NA,NA,NA,NA,1024.9,14.3,14.4,NA,NA,NA
"122",2024,1,6,4,18,320,3.6,NA,NA,NA,NA,NA,1025,14.1,14.5,NA,NA,NA
"123",2024,1,6,5,18,330,2.6,NA,NA,NA,NA,NA,1025.1,14.1,14.5,NA,NA,NA
"124",2024,1,6,6,18,50,1.5,NA,NA,NA,NA,NA,1024.7,13.9,14.4,NA,NA,NA
"125",2024,1,6,7,18,90,4.6,NA,NA,NA,NA,NA,1024.9,13.6,14.4,NA,NA,NA
"126",2024,1,6,8,18,80,5.1,NA,NA,NA,NA,NA,1024.3,13.1,14.4,NA,NA,NA
"127",2024,1,6,9,18,70,3.6,NA,NA,NA,NA,NA,1023.5,12.4,14.4,NA,NA,NA
"128",2024,1,6,10,18,60,4.6,NA,NA,NA,NA,NA,1023.8,11.3,14.4,NA,NA,NA
"129",2024,1,6,11,18,60,6.7,NA,NA,NA,NA,NA,1023.7,11,14.2,NA,NA,NA
"130",2024,1,6,12,18,80,4.1,NA,NA,NA,NA,NA,1023.5,10.3,14.1,NA,NA,NA
"131",2024,1,6,13,18,70,6.7,NA,NA,NA,NA,NA,1023.1,10.4,14.1,NA,NA,NA
"132",2024,1,6,14,18,50,5.1,NA,NA,NA,NA,NA,1023.3,9.6,14.1,NA,NA,NA
"133",2024,1,6,15,18,60,5.7,NA,NA,NA,NA,NA,1023.1,9.4,14.1,NA,NA,NA
"134",2024,1,6,16,18,60,7.7,NA,NA,NA,NA,NA,1023.2,9.2,14.1,NA,NA,NA
"135",2024,1,6,17,18,70,4.1,NA,NA,NA,NA,NA,1023.6,9.4,14.1,NA,NA,NA
"136",2024,1,6,18,18,60,4.1,NA,NA,NA,NA,NA,1023.2,9.7,14.1,NA,NA,NA
"137",2024,1,6,19,18,130,1.5,NA,NA,NA,NA,NA,1021.9,10.8,14.2,NA,NA,NA
"138",2024,1,6,20,18,210,4.6,NA,NA,NA,NA,NA,1020.4,12.7,14.2,NA,NA,NA
"139",2024,1,6,21,18,250,7.2,NA,NA,NA,NA,NA,1019.6,13.3,14.2,NA,NA,NA
"140",2024,1,6,22,18,260,7.7,NA,NA,NA,NA,NA,1018.8,13.3,14.2,NA,NA,NA
"141",2024,1,6,23,18,230,8.2,NA,NA,NA,NA,NA,1017.3,13.1,14.1,NA,NA,NA
"142",2024,1,7,0,18,280,10.8,NA,NA,NA,NA,NA,1016.8,13,14.1,NA,NA,NA
"143",2024,1,7,1,18,290,9.8,NA,NA,NA,NA,NA,1016.9,13.5,14.1,NA,NA,NA
"144",2024,1,7,2,18,300,9.8,NA,NA,NA,NA,NA,1017.8,12.7,14.2,NA,NA,NA
"145",2024,1,7,3,18,300,9.3,NA,NA,NA,NA,NA,1017.6,12.7,14.2,NA,NA,NA
"146",2024,1,7,4,18,300,16.5,NA,NA,NA,NA,NA,1017.3,12.8,14.3,NA,NA,NA
"147",2024,1,7,5,18,310,11.8,NA,NA,NA,NA,NA,1017.5,12.5,14.3,NA,NA,NA
"148",2024,1,7,6,18,310,12.9,NA,NA,NA,NA,NA,1017.7,12.3,14.3,NA,NA,NA
"149",2024,1,7,7,18,320,14.9,NA,NA,NA,NA,NA,1018,12,14.3,NA,NA,NA
"150",2024,1,7,8,18,330,10.8,NA,NA,NA,NA,NA,1018.4,11.4,14.2,NA,NA,NA
"151",2024,1,7,9,18,310,10.8,NA,NA,NA,NA,NA,1018.1,11.2,14.2,NA,NA,NA
"152",2024,1,7,10,18,340,8.2,NA,NA,NA,NA,NA,1019,10.8,14.2,NA,NA,NA
"153",2024,1,7,11,18,340,4.1,NA,NA,NA,NA,NA,1018.9,10.4,14.1,NA,NA,NA
"154",2024,1,7,12,18,340,5.1,NA,NA,NA,NA,NA,1018.9,10.2,14.1,NA,NA,NA
"155",2024,1,7,13,18,340,5.1,NA,NA,NA,NA,NA,1018.9,10.2,14.1,NA,NA,NA
"156",2024,1,7,14,18,360,3.6,NA,NA,NA,NA,NA,1019.6,9.6,14.1,NA,NA,NA
"157",2024,1,7,15,18,360,5.1,NA,NA,NA,NA,NA,1020.2,9.7,14,NA,NA,NA
"158",2024,1,7,16,18,350,4.6,NA,NA,NA,NA,NA,1020.7,9.7,14.1,NA,NA,NA
"159",2024,1,7,17,18,350,4.1,NA,NA,NA,NA,NA,1021.4,9.7,14.1,NA,NA,NA
"160",2024,1,7,18,18,10,3.1,NA,NA,NA,NA,NA,1021.7,10,14.1,NA,NA,NA
"161",2024,1,7,19,18,30,2.1,NA,NA,NA,NA,NA,1021.3,9.6,14.1,NA,NA,NA
"162",2024,1,7,20,18,0,0,NA,NA,NA,NA,NA,1020.6,10.7,14.1,NA,NA,NA
"163",2024,1,7,21,18,300,5.1,NA,NA,NA,NA,NA,1019.9,11.6,14.2,NA,NA,NA
"164",2024,1,7,22,18,300,8.8,NA,NA,NA,NA,NA,1019.3,11.8,14.2,NA,NA,NA
"165",2024,1,7,22,58,300,7.7,NA,NA,NA,NA,NA,1019.4,11.9,14.1,NA,NA,NA
"166",2024,1,8,0,18,300,10.8,NA,NA,NA,NA,NA,1019.8,12,14.1,NA,NA,NA
"167",2024,1,8,1,18,300,9.8,NA,NA,NA,NA,NA,1020.2,12.1,14.1,NA,NA,NA
"168",2024,1,8,2,18,300,11.8,NA,NA,NA,NA,NA,1021,12.1,14.2,NA,NA,NA
"169",2024,1,8,3,18,310,9.3,NA,NA,NA,NA,NA,1021.4,11.9,14.3,NA,NA,NA
"170",2024,1,8,4,18,320,8.2,NA,NA,NA,NA,NA,1021.8,11.7,14.3,NA,NA,NA
"171",2024,1,8,5,18,310,9.3,NA,NA,NA,NA,NA,1021.9,12,14.3,NA,NA,NA
"172",2024,1,8,6,18,320,7.2,NA,NA,NA,NA,NA,1022.2,11.9,14.2,NA,NA,NA
"173",2024,1,8,7,18,320,6.2,NA,NA,NA,NA,NA,1022.4,12,14.2,NA,NA,NA
"174",2024,1,8,8,18,330,6.2,NA,NA,NA,NA,NA,1022.7,11.6,14.1,NA,NA,NA
"175",2024,1,8,9,18,330,4.6,NA,NA,NA,NA,NA,1023.1,11.2,14.1,NA,NA,NA
"176",2024,1,8,10,18,360,5.1,NA,NA,NA,NA,NA,1023.5,10.8,14,NA,NA,NA
"177",2024,1,8,11,18,10,5.7,NA,NA,NA,NA,NA,1023.8,10.4,14,NA,NA,NA
"178",2024,1,8,12,18,20,5.7,NA,NA,NA,NA,NA,1024.1,10.4,14,NA,NA,NA
"179",2024,1,8,13,18,10,3.6,NA,NA,NA,NA,NA,1024.7,10.7,14,NA,NA,NA
"180",2024,1,8,14,18,20,4.6,NA,NA,NA,NA,NA,1025.5,10.5,14,NA,NA,NA
"181",2024,1,8,15,18,30,2.6,NA,NA,NA,NA,NA,1026.2,9.6,14.2,NA,NA,NA
"182",2024,1,8,16,18,70,2.6,NA,NA,NA,NA,NA,1027.1,9.3,14.2,NA,NA,NA
"183",2024,1,8,18,18,90,2.1,NA,NA,NA,NA,NA,1029,9.5,14.2,NA,NA,NA
"184",2024,1,8,19,18,80,3.1,NA,NA,NA,NA,NA,1028.7,9.9,14.2,NA,NA,NA
"185",2024,1,8,20,18,0,0,NA,NA,NA,NA,NA,1028.5,10.8,14.2,NA,NA,NA
"186",2024,1,8,21,18,0,0,NA,NA,NA,NA,NA,1027.9,11.6,14.3,NA,NA,NA
"187",2024,1,8,22,18,290,2.1,NA,NA,NA,NA,NA,1027.5,11.6,14.4,NA,NA,NA
"188",2024,1,9,0,18,290,5.1,NA,NA,NA,NA,NA,1027.8,13,14.4,NA,NA,NA
"189",2024,1,9,1,18,280,5.1,NA,NA,NA,NA,NA,1027.4,12.8,14.3,NA,NA,NA
"190",2024,1,9,2,18,290,6.2,NA,NA,NA,NA,NA,1027.7,12.7,14.3,NA,NA,NA
"191",2024,1,9,3,18,300,6.7,NA,NA,NA,NA,NA,1027.9,12.7,14.2,NA,NA,NA
"192",2024,1,9,4,18,340,3.6,NA,NA,NA,NA,NA,1028.1,12.4,14.2,NA,NA,NA
"193",2024,1,9,5,18,340,4.1,NA,NA,NA,NA,NA,1028.9,12,14.1,NA,NA,NA
"194",2024,1,9,6,18,350,4.1,NA,NA,NA,NA,NA,1029.3,12,14.1,NA,NA,NA
"195",2024,1,9,7,18,10,3.6,NA,NA,NA,NA,NA,1029.3,11.8,14.1,NA,NA,NA
"196",2024,1,9,8,8,60,4.1,NA,NA,NA,NA,NA,1029.3,11,14.1,NA,NA,NA
"197",2024,1,9,8,58,70,4.6,NA,NA,NA,NA,NA,1029.3,10.6,14.1,NA,NA,NA
"198",2024,1,9,9,58,70,3.6,NA,NA,NA,NA,NA,1029.4,11.2,14,NA,NA,NA
"199",2024,1,9,10,58,70,5.1,NA,NA,NA,NA,NA,1028.9,10.3,13.9,NA,NA,NA
"200",2024,1,9,11,58,60,4.1,NA,NA,NA,NA,NA,1028.8,10.2,13.9,NA,NA,NA
"201",2024,1,9,12,58,80,5.1,NA,NA,NA,NA,NA,1028.3,9.7,13.9,NA,NA,NA
"202",2024,1,9,13,58,80,5.1,NA,NA,NA,NA,NA,1028.3,10,13.8,NA,NA,NA
"203",2024,1,9,14,58,90,5.7,NA,NA,NA,NA,NA,1028.1,9.9,13.7,NA,NA,NA
"204",2024,1,9,15,58,70,5.7,NA,NA,NA,NA,NA,1028,9.7,13.7,NA,NA,NA
"205",2024,1,9,16,58,60,5.1,NA,NA,NA,NA,NA,1028.3,9.2,13.8,NA,NA,NA
"206",2024,1,9,17,58,80,4.6,NA,NA,NA,NA,NA,1028.2,9.8,13.7,NA,NA,NA
"207",2024,1,9,18,58,90,4.1,NA,NA,NA,NA,NA,1027.7,10.9,13.7,NA,NA,NA
"208",2024,1,9,19,58,100,2.1,NA,NA,NA,NA,NA,1026.5,11.8,13.7,NA,NA,NA
"209",2024,1,9,21,18,270,1,NA,NA,NA,NA,NA,1025.1,11.9,13.8,NA,NA,NA
"210",2024,1,9,22,18,30,1.5,NA,NA,NA,NA,NA,1024.4,10.6,13.8,NA,NA,NA
"211",2024,1,9,22,58,330,4.1,NA,NA,NA,NA,NA,1024.9,10.9,13.8,NA,NA,NA
"212",2024,1,10,0,18,310,2.6,NA,NA,NA,NA,NA,1024.9,11.4,13.8,NA,NA,NA
"213",2024,1,10,1,18,310,8.8,NA,NA,NA,NA,NA,1023.5,12.7,13.8,NA,NA,NA
"214",2024,1,10,2,18,310,7.7,NA,NA,NA,NA,NA,1023.7,12.6,13.8,NA,NA,NA
"215",2024,1,10,3,18,310,9.3,NA,NA,NA,NA,NA,1023.7,12.4,13.8,NA,NA,NA
"216",2024,1,10,4,18,310,8.8,NA,NA,NA,NA,NA,1023.6,12.3,13.8,NA,NA,NA
"217",2024,1,10,5,18,310,7.7,NA,NA,NA,NA,NA,1023.5,12,13.6,NA,NA,NA
"218",2024,1,10,6,18,320,10.3,NA,NA,NA,NA,NA,1023.3,12,13.6,NA,NA,NA
"219",2024,1,10,7,18,320,8.8,NA,NA,NA,NA,NA,1023.6,11.6,13.6,NA,NA,NA
"220",2024,1,10,8,18,320,6.7,NA,NA,NA,NA,NA,1023.4,11.6,13.6,NA,NA,NA
"221",2024,1,10,9,18,330,7.2,NA,NA,NA,NA,NA,1023.4,11.3,13.6,NA,NA,NA
"222",2024,1,10,10,18,330,5.1,NA,NA,NA,NA,NA,1023.2,11.1,13.5,NA,NA,NA
"223",2024,1,10,11,18,340,6.2,NA,NA,NA,NA,NA,1023.1,10.9,13.6,NA,NA,NA
"224",2024,1,10,12,18,330,4.1,NA,NA,NA,NA,NA,1022.7,11.1,13.6,NA,NA,NA
"225",2024,1,10,13,18,330,6.2,NA,NA,NA,NA,NA,1022.2,11.2,13.6,NA,NA,NA
"226",2024,1,10,14,18,20,3.6,NA,NA,NA,NA,NA,1022.1,10.9,13.6,NA,NA,NA
"227",2024,1,10,15,18,60,2.1,NA,NA,NA,NA,NA,1022.2,10.6,13.6,NA,NA,NA
"228",2024,1,10,16,18,270,3.6,NA,NA,NA,NA,NA,1022.3,11,13.5,NA,NA,NA
"229",2024,1,10,17,18,200,3.1,NA,NA,NA,NA,NA,1022.2,10.8,13.6,NA,NA,NA
"230",2024,1,10,18,18,250,1,NA,NA,NA,NA,NA,1022.2,11.5,13.6,NA,NA,NA
"231",2024,1,10,19,18,30,1,NA,NA,NA,NA,NA,1021.8,10.7,13.7,NA,NA,NA
"232",2024,1,10,20,18,200,1.5,NA,NA,NA,NA,NA,1019.6,11.7,13.8,NA,NA,NA
"233",2024,1,10,21,18,260,6.2,NA,NA,NA,NA,NA,1019.5,12.4,13.7,NA,NA,NA
"234",2024,1,10,22,18,260,8.2,NA,NA,NA,NA,NA,1018.2,12.4,13.7,NA,NA,NA
"235",2024,1,10,22,58,260,6.7,NA,NA,NA,NA,NA,1017.4,12.2,13.6,NA,NA,NA
"236",2024,1,11,0,18,280,7.2,NA,NA,NA,NA,NA,1017.6,11.7,13.6,NA,NA,NA
"237",2024,1,11,1,18,290,7.2,NA,NA,NA,NA,NA,1016.9,12.3,13.6,NA,NA,NA
"238",2024,1,11,2,18,270,7.7,NA,NA,NA,NA,NA,1016.3,13.1,13.6,NA,NA,NA
"239",2024,1,11,3,18,280,10.3,NA,NA,NA,NA,NA,1015.4,13,13.6,NA,NA,NA
"240",2024,1,11,4,18,270,10.8,NA,NA,NA,NA,NA,1015.1,13.4,13.6,NA,NA,NA
"241",2024,1,11,5,18,300,12.9,NA,NA,NA,NA,NA,1014.6,11.9,13.7,NA,NA,NA
"242",2024,1,11,6,18,310,16.5,NA,NA,NA,NA,NA,1015.5,12.2,13.7,NA,NA,NA
"243",2024,1,11,7,18,310,10.8,NA,NA,NA,NA,NA,1016.3,11.9,13.7,NA,NA,NA
"244",2024,1,11,8,18,300,14.4,NA,NA,NA,NA,NA,1016.3,11.9,13.7,NA,NA,NA
"245",2024,1,11,9,18,310,12.9,NA,NA,NA,NA,NA,1016.7,11.8,13.6,NA,NA,NA
